common name	sci.name	genus	spp	Inv/Non-Nat
Faucet Snail	Bithynia tentaculata	Bithynia	tentaculata	N
Wrinkled Dune Snail	Candidula intersecta	Candidula	intersecta	I
Brown Garden Snail	Cantareus aspersa	Cantareus	aspersa	I
Chinese Mystery Snail	Cipangopaludina chinensis	Cipangopaludina	chinensis	N
Japanese Mystery Snail	Cipangopaludina japonica	Cipangopaludina	japonica	N
Asian Clam	Corbicula fluminea	Corbicula	fluminea	I
Zebra Mussel	Dreissena polymorpha	Dreissena	polymorpha	I
Quagga Mussel	Dreissena rostriformis bugensis	Dreissena	rostriformis bugensis	I
Piedmont Elimia	Elimia virginica	Elimia	virginica	N
Buffalo Pepplesnail	Gillia altillis	Gillia	altillis	N
Girdled Snail	Hygromia cinctella	Hygromia	cinctella	I
Green Floater Mussel	Lasmigona subviridis	Lasmigona	subviridis	N
Golden Mussel	Limnoperna fortunei	Limnoperna	fortunei	I
Giant African Snail	Lissachatina fulica	Lissachatina	fulica	I
Carthusian Snail	Monacha cartusiana	Monacha	cartusiana	I
Greater European Pea Clam	Pisidium amnicum	Pisidium	amnicum	N
Henslow Pea Clam	Pisidium henslowanum	Pisidium	henslowanum	N
Pygmy Pea Clam	Pisidium moitessierianum	Pisidium	moitessierianum	N
Humpback Pea Clam	Pisidium supinum	Pisidium	supinum	N
New Zealand Mud Snail	Potamopyrgus antipodarum	Potamopyrgus	antipodarum	I
European Ear Snail	Radix auricularia	Radix	auricularia	N
European Fingernail Clam	Sphaerium corneum	Sphaerium	corneum	N
European Valve Snail	Valvata piscinalis	Valvata	piscinalis	N
Banded Mystery Snail	Viviparus georgianus	Viviparus	georgianus	N
Heath Snail	Xerolenta obvia	Xerolenta	obvia	I
