genus	spp	sci.name
Limax	maximus	Limax maximus
Arion	fuscus	Arion fuscus
Ligumia	recta	Ligumia recta
Illex	illecebrosus	Illex illecebrosus
Cepaea	nemoralis	Cepaea nemoralis
Corbicula	fluminea	Corbicula fluminea
Bellamya	chinensis	Bellamya chinensis
Philomycus	carolinianus	Philomycus carolinianus
Lampsilis	siliquoidea	Lampsilis siliquoidea
Megapallifera	mutabilis	Megapallifera mutabilis
Lasmigona	costata	Lasmigona costata
Quadrula	quadrula	Quadrula quadrula
Oxychilus	draparnaudi	Oxychilus draparnaudi
Deroceras	reticulatum	Deroceras reticulatum
Vallonia	excentrica	Vallonia excentrica
Mesodon	thyroidus	Mesodon thyroidus
Succinea	putris	Succinea putris
Utterbackia	imbecillis	Utterbackia imbecillis
Anodonta	cataracta	Anodonta cataracta
Pyganodon	grandis	Pyganodon grandis
Arion	intermedius	Arion intermedius
Anguispira	alternata	Anguispira alternata
Planorbarius	corneus	Planorbarius corneus
Triodopsis	tridentata	Triodopsis tridentata
Zonitoides	nitidus	Zonitoides nitidus
Lasmigona	compressa	Lasmigona compressa
Viviparus	georgianus	Viviparus georgianus
Planorbella	trivolvis	Planorbella trivolvis
Dreissena	polymorpha	Dreissena polymorpha
Deroceras	laeve	Deroceras laeve
Cochlicopa	lubrica	Cochlicopa lubrica
Dreissena	bugensis	Dreissena bugensis
Lampsilis	cardium	Lampsilis cardium
Strophitus	undulatus	Strophitus undulatus
Amblema	plicata	Amblema plicata
Pleurocera	acuta	Pleurocera acuta
Potamilus	alatus	Potamilus alatus
Allogona	profunda	Allogona profunda
Webbhelix	multilineata	Webbhelix multilineata
Fusconaia	flava	Fusconaia flava
Arion	fasciatus	Arion fasciatus
Arion	hortensis	Arion hortensis
Cepaea	hortensis	Cepaea hortensis
Epioblasma	triquetra	Epioblasma triquetra
Obovaria	subrotunda	Obovaria subrotunda
Philomycus	togatus	Philomycus togatus
Aplexa	hypnorum	Aplexa hypnorum
Ptychobranchus	fasciolaris	Ptychobranchus fasciolaris
Lampsilis	fasciola	Lampsilis fasciola
Arion	rufus	Arion rufus
Haplotrema	concavum	Haplotrema concavum
Discus	rotundatus	Discus rotundatus
Helix	pomatia	Helix pomatia
Leptodea	fragilis	Leptodea fragilis
Rotundaria	tuberculata	Rotundaria tuberculata
Pleurobema	sintoxia	Pleurobema sintoxia
Simpsonaias	ambigua	Simpsonaias ambigua
Alasmidonta	marginata	Alasmidonta marginata
Truncilla	truncata	Truncilla truncata
Vertigo	bollesiana	Vertigo bollesiana
Novisuccinea	ovalis	Novisuccinea ovalis
Hawaiia	minuscula	Hawaiia minuscula
Arion	vulgaris	Arion vulgaris
Limax	flavus	Limax flavus
Potamopyrgus	antipodarum	Potamopyrgus antipodarum
Lymnaea	stagnalis	Lymnaea stagnalis
Zonitoides	arboreus	Zonitoides arboreus
Bithynia	tentaculata	Bithynia tentaculata
Obovaria	olivaria	Obovaria olivaria
Elliptio	complanata	Elliptio complanata
Trochulus	hispida	Trochulus hispida
Cornu	aspersum	Cornu aspersum
Helix	lucorum	Helix lucorum
Xerolenta	obvia	Xerolenta obvia
Candidula	intersecta	Candidula intersecta
Cantareus	aspersa	Cantareus aspersa
Cipangopaludina	chinensis	Cipangopaludina chinensis
Cipangopaludina	japonica	Cipangopaludina japonica
Dreissena	rostriformis bugensis	Dreissena rostriformis bugensis
Elimia	virginica	Elimia virginica
Gillia	altillis	Gillia altillis
Hygromia	cinctella	Hygromia cinctella
Lasmigona	subviridis	Lasmigona subviridis
Limnoperna	fortunei	Limnoperna fortunei
Lissachatina	fulica	Lissachatina fulica
Monacha	cartusiana	Monacha cartusiana
Pisidium	amnicum	Pisidium amnicum
Pisidium	henslowanum	Pisidium henslowanum
