kingdom	phylum	order	family	genus	species	sci.name
Animalia	Mollusca	Stylommatophora	Arionidae	Arion	intermedius	Arion intermedius
Animalia	Mollusca	Stylommatophora	Polygyridae	Xolotrema	fosteri	Xolotrema fosteri
Animalia	Mollusca	Stylommatophora	Polygyridae	Mesodon	elevatus	Mesodon elevatus
Animalia	Mollusca	Stylommatophora	Zonitidae	Ventridens	ligera	Ventridens ligera
Animalia	Mollusca	Stylommatophora	Arionidae	Arion	subfuscus	Arion subfuscus
Animalia	Mollusca	Unionida	Unionidae	Ligumia	recta	Ligumia recta
Animalia	Mollusca	Venerida	Sphaeriidae	Musculium	securis	Musculium securis
Animalia	Mollusca	Littorinimorpha	Amnicolidae	Amnicola	limosus	Amnicola limosus
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	NA	Pisidium NA
Animalia	Mollusca	NA	Planorbidae	Planorbella	trivolvis	Planorbella trivolvis
Animalia	Mollusca	NA	Planorbidae	Gyraulus	parvus	Gyraulus parvus
Animalia	Mollusca	Venerida	Sphaeriidae	Pisidium	compressum	Pisidium compressum
Animalia	Mollusca	NA	Valvatidae	Valvata	tricarinata	Valvata tricarinata
Animalia	Mollusca	NA	Lymnaeidae	Galba	NA	Galba NA
Animalia	Mollusca	Littorinimorpha	Hydrobiidae	Hydrobiidae	NA	Hydrobiidae NA
Animalia	Mollusca	Unionida	Unionidae	Toxolasma	lividum	Toxolasma lividum
Animalia	Mollusca	Pleurotomariida	Murchisoniidae	Murchisonia	macrospira	Murchisonia macrospira
Animalia	Mollusca	NA	NA	Gastropoda	NA	Gastropoda NA
Animalia	Mollusca	Nautilida	Nautilidae	Lechritrochoceras	NA	Lechritrochoceras NA
Animalia	Mollusca	Unionida	Unionidae	Venustaconcha	ellipsiformis	Venustaconcha ellipsiformis
Animalia	Mollusca	Unionida	Unionidae	Cyclonaias	pustulosa	Cyclonaias pustulosa
Animalia	Mollusca	Unionida	Unionidae	Obovaria	olivaria	Obovaria olivaria
Animalia	Mollusca	Unionida	Unionidae	Truncilla	truncata	Truncilla truncata
Animalia	Mollusca	Unionida	Unionidae	Quadrula	quadrula	Quadrula quadrula
Animalia	Mollusca	Oegopsida	Ommastrephidae	Illex	illecebrosus	Illex illecebrosus
Animalia	Mollusca	Stylommatophora	Succineidae	Succinea	NA	Succinea NA
Animalia	Mollusca	NA	Lymnaeidae	Stagnicola	NA	Stagnicola NA
Animalia	Mollusca	Stylommatophora	Spiraxidae	Physella	gyrina	Physella gyrina
Animalia	Mollusca	NA	NA	Cephalopoda	NA	Cephalopoda NA
Animalia	Mollusca	Unionida	Unionidae	Lasmigona	complanata	Lasmigona complanata
Animalia	Mollusca	Unionida	Unionidae	Actinonaias	ligamentina	Actinonaias ligamentina
Animalia	Mollusca	Unionida	Unionidae	Lampsilis	teres	Lampsilis teres
Animalia	Mollusca	Unionida	Unionidae	Lasmigona	costata	Lasmigona costata
Animalia	Mollusca	Unionida	Unionidae	Pyganodon	grandis	Pyganodon grandis
Animalia	Mollusca	Unionida	Unionidae	Leptodea	fragilis	Leptodea fragilis
